,GraphNum,Name,Date,Close
0,0,Overall Portfolio,5/10/2018,"$10,033.26"
1,0,Overall Portfolio,4/26/2018,"$10,206.98"
2,0,Overall Portfolio,4/12/2018,"$10,265.00"
3,0,Overall Portfolio,3/28/2018,"$10,009.24"
4,0,Overall Portfolio,3/14/2018,"$11,048.07"
5,0,Overall Portfolio,2/28/2018,"$11,184.53"
6,0,Overall Portfolio,2/13/2018,"$10,695.80"
7,0,Overall Portfolio,1/30/2018,"$11,578.07"
8,0,Overall Portfolio,1/16/2018,"$11,256.77"
9,0,Overall Portfolio,12/29/2017,"$10,653.59"
10,0,Overall Portfolio,12/14/2017,"$10,390.01"
11,0,Overall Portfolio,11/30/2017,"$9,958.88"
12,0,Overall Portfolio,11/15/2017,"$9,671.36"
13,0,Overall Portfolio,11/1/2017,"$10,067.91"
14,0,LLNW 2017-10-18 to 2018-01-23,2017-10-18,4.48
15,0,LLNW 2017-10-18 to 2018-01-23,2017-10-27,4.88
16,0,LLNW 2017-10-18 to 2018-01-23,2017-11-07,5.52
17,0,LLNW 2017-10-18 to 2018-01-23,2017-11-16,5.85
18,0,LLNW 2017-10-18 to 2018-01-23,2017-11-27,5.9
19,0,LLNW 2017-10-18 to 2018-01-23,2017-12-06,4.73
20,0,LLNW 2017-10-18 to 2018-01-23,2017-12-15,4.68
21,0,LLNW 2017-10-18 to 2018-01-23,2017-12-26,4.52
22,0,LLNW 2017-10-18 to 2018-01-23,2018-01-04,4.48
23,0,LLNW 2017-10-18 to 2018-01-23,2018-01-15,4.23
24,1,PJP 2017-10-18 to 2017-10-20,2017-10-18,65.96
25,1,PJP 2017-10-18 to 2017-10-20,2017-10-19,66.32
26,1,PJP 2017-10-18 to 2017-10-20,2017-10-20,65.96
27,2,PYPL 2017-10-19 to 2017-11-06,2017-10-19,67.25
28,2,PYPL 2017-10-19 to 2017-11-06,2017-10-30,71.15
29,3,BSFT 2017-10-23 to 2017-10-24,2017-10-23,54.8
30,3,BSFT 2017-10-23 to 2017-10-24,2017-10-24,54.95
31,4,SHOP 2017-10-23 to 2018-01-23,2017-10-23,102.91
32,4,SHOP 2017-10-23 to 2018-01-23,2017-11-01,96.2
33,4,SHOP 2017-10-23 to 2018-01-23,2017-11-10,100.01
34,4,SHOP 2017-10-23 to 2018-01-23,2017-11-21,110.17
35,4,SHOP 2017-10-23 to 2018-01-23,2017-11-30,103.82
36,4,SHOP 2017-10-23 to 2018-01-23,2017-12-11,104.11
37,4,SHOP 2017-10-23 to 2018-01-23,2017-12-20,105.24
38,4,SHOP 2017-10-23 to 2018-01-23,2017-12-29,101.0
39,4,SHOP 2017-10-23 to 2018-01-23,2018-01-09,110.73
40,4,SHOP 2017-10-23 to 2018-01-23,2018-01-18,114.8
41,5,INTC 2017-10-23 to 2017-11-06,2017-10-23,40.83
42,5,INTC 2017-10-23 to 2017-11-06,2017-11-01,46.71
43,6,V 2017-10-23 to 2018-04-20,2017-10-23,107.53
44,6,V 2017-10-23 to 2018-04-20,2017-11-01,111.07
45,6,V 2017-10-23 to 2018-04-20,2017-11-10,111.88
46,6,V 2017-10-23 to 2018-04-20,2017-11-21,111.45
47,6,V 2017-10-23 to 2018-04-20,2017-11-30,112.59
48,6,V 2017-10-23 to 2018-04-20,2017-12-11,112.37
49,6,V 2017-10-23 to 2018-04-20,2017-12-20,112.12
50,6,V 2017-10-23 to 2018-04-20,2017-12-29,114.02
51,6,V 2017-10-23 to 2018-04-20,2018-01-09,119.11
52,6,V 2017-10-23 to 2018-04-20,2018-01-18,123.11
53,6,V 2017-10-23 to 2018-04-20,2018-01-29,124.84
54,6,V 2017-10-23 to 2018-04-20,2018-02-07,119.65
55,6,V 2017-10-23 to 2018-04-20,2018-02-16,121.85
56,6,V 2017-10-23 to 2018-04-20,2018-02-27,123.37
57,6,V 2017-10-23 to 2018-04-20,2018-03-08,122.22
58,6,V 2017-10-23 to 2018-04-20,2018-03-19,123.21
59,6,V 2017-10-23 to 2018-04-20,2018-03-28,116.99
60,6,V 2017-10-23 to 2018-04-20,2018-04-06,117.7
61,6,V 2017-10-23 to 2018-04-20,2018-04-17,123.8
62,7,MKSI 2017-10-23 to 2017-10-30,2017-10-23,101.9
63,7,MKSI 2017-10-23 to 2017-10-30,2017-10-24,103.55
64,7,MKSI 2017-10-23 to 2017-10-30,2017-10-25,103.4
65,7,MKSI 2017-10-23 to 2017-10-30,2017-10-26,105.9
66,7,MKSI 2017-10-23 to 2017-10-30,2017-10-27,106.85
67,7,MKSI 2017-10-23 to 2017-10-30,2017-10-30,105.55
68,8,ADMP 2017-10-24 to 2017-10-30,2017-10-24,5.4
69,8,ADMP 2017-10-24 to 2017-10-30,2017-10-25,5.45
