,GraphNum,Name,Date,Close
0,0,Overall Portfolio,5/1/2018,"$11,499.03"
1,0,Overall Portfolio,4/17/2018,"$11,536.66"
2,0,Overall Portfolio,4/3/2018,"$10,641.45"
3,0,Overall Portfolio,3/19/2018,"$11,100.16"
4,0,Overall Portfolio,3/5/2018,"$11,316.67"
5,0,Overall Portfolio,2/16/2018,"$11,355.28"
6,0,Overall Portfolio,2/2/2018,"$11,188.65"
7,0,Overall Portfolio,1/19/2018,"$11,649.76"
8,0,Overall Portfolio,1/4/2018,"$7,575.35"
9,0,Overall Portfolio,12/19/2017,"-$1,566.68"
10,0,Overall Portfolio,12/5/2017,"$14,499.88"
11,0,Overall Portfolio,11/20/2017,"$14,129.12"
12,0,Overall Portfolio,11/6/2017,"$11,678.39"
13,1,LLNW 2017-10-18 to 2018-01-23,2017-10-18,4.48
14,1,LLNW 2017-10-18 to 2018-01-23,2017-10-27,4.88
15,1,LLNW 2017-10-18 to 2018-01-23,2017-11-07,5.52
16,1,LLNW 2017-10-18 to 2018-01-23,2017-11-16,5.85
17,1,LLNW 2017-10-18 to 2018-01-23,2017-11-27,5.9
18,1,LLNW 2017-10-18 to 2018-01-23,2017-12-06,4.73
19,1,LLNW 2017-10-18 to 2018-01-23,2017-12-15,4.68
20,1,LLNW 2017-10-18 to 2018-01-23,2017-12-26,4.52
21,1,LLNW 2017-10-18 to 2018-01-23,2018-01-04,4.48
22,1,LLNW 2017-10-18 to 2018-01-23,2018-01-15,4.23
23,2,PJP 2017-10-18 to 2017-10-20,2017-10-18,65.96
24,2,PJP 2017-10-18 to 2017-10-20,2017-10-19,66.32
25,2,PJP 2017-10-18 to 2017-10-20,2017-10-20,65.96
26,3,PYPL 2017-10-19 to 2017-11-06,2017-10-19,67.25
27,3,PYPL 2017-10-19 to 2017-11-06,2017-10-30,71.15
28,4,BSFT 2017-10-23 to 2017-10-24,2017-10-23,54.8
29,4,BSFT 2017-10-23 to 2017-10-24,2017-10-24,54.95
30,5,SHOP 2017-10-23 to 2018-01-23,2017-10-23,102.91
31,5,SHOP 2017-10-23 to 2018-01-23,2017-11-01,96.2
32,5,SHOP 2017-10-23 to 2018-01-23,2017-11-10,100.01
33,5,SHOP 2017-10-23 to 2018-01-23,2017-11-21,110.17
34,5,SHOP 2017-10-23 to 2018-01-23,2017-11-30,103.82
35,5,SHOP 2017-10-23 to 2018-01-23,2017-12-11,104.11
36,5,SHOP 2017-10-23 to 2018-01-23,2017-12-20,105.24
37,5,SHOP 2017-10-23 to 2018-01-23,2017-12-29,101.0
38,5,SHOP 2017-10-23 to 2018-01-23,2018-01-09,110.73
39,5,SHOP 2017-10-23 to 2018-01-23,2018-01-18,114.8
40,6,INTC 2017-10-23 to 2017-11-06,2017-10-23,40.83
41,6,INTC 2017-10-23 to 2017-11-06,2017-11-01,46.71
42,7,V 2017-10-23 to 2018-04-20,2017-10-23,107.53
43,7,V 2017-10-23 to 2018-04-20,2017-11-01,111.07
44,7,V 2017-10-23 to 2018-04-20,2017-11-10,111.88
45,7,V 2017-10-23 to 2018-04-20,2017-11-21,111.45
46,7,V 2017-10-23 to 2018-04-20,2017-11-30,112.59
47,7,V 2017-10-23 to 2018-04-20,2017-12-11,112.37
48,7,V 2017-10-23 to 2018-04-20,2017-12-20,112.12
49,7,V 2017-10-23 to 2018-04-20,2017-12-29,114.02
50,7,V 2017-10-23 to 2018-04-20,2018-01-09,119.11
51,7,V 2017-10-23 to 2018-04-20,2018-01-18,123.11
52,7,V 2017-10-23 to 2018-04-20,2018-01-29,124.84
53,7,V 2017-10-23 to 2018-04-20,2018-02-07,119.65
54,7,V 2017-10-23 to 2018-04-20,2018-02-16,121.85
55,7,V 2017-10-23 to 2018-04-20,2018-02-27,123.37
56,7,V 2017-10-23 to 2018-04-20,2018-03-08,122.22
57,7,V 2017-10-23 to 2018-04-20,2018-03-19,123.21
58,7,V 2017-10-23 to 2018-04-20,2018-03-28,116.99
59,7,V 2017-10-23 to 2018-04-20,2018-04-06,117.7
60,7,V 2017-10-23 to 2018-04-20,2018-04-17,123.8
61,8,MKSI 2017-10-23 to 2017-10-30,2017-10-23,101.9
62,8,MKSI 2017-10-23 to 2017-10-30,2017-10-24,103.55
63,8,MKSI 2017-10-23 to 2017-10-30,2017-10-25,103.4
64,8,MKSI 2017-10-23 to 2017-10-30,2017-10-26,105.9
65,8,MKSI 2017-10-23 to 2017-10-30,2017-10-27,106.85
66,8,MKSI 2017-10-23 to 2017-10-30,2017-10-30,105.55
67,9,ADMP 2017-10-24 to 2017-10-30,2017-10-24,5.4
68,9,ADMP 2017-10-24 to 2017-10-30,2017-10-25,5.45
69,9,ADMP 2017-10-24 to 2017-10-30,2017-10-26,5.4
70,9,ADMP 2017-10-24 to 2017-10-30,2017-10-27,5.4
71,9,ADMP 2017-10-24 to 2017-10-30,2017-10-30,5.2
72,10,MSFT 2017-10-24 to 2017-11-06,2017-10-24,78.86
73,10,MSFT 2017-10-24 to 2017-11-06,2017-11-02,84.05
74,11,DFEN 2017-10-24 to 2017-10-30,2017-10-24,41.860001000000004
75,11,DFEN 2017-10-24 to 2017-10-30,2017-10-25,41.419998
76,11,DFEN 2017-10-24 to 2017-10-30,2017-10-26,40.43
77,11,DFEN 2017-10-24 to 2017-10-30,2017-10-27,40.110001000000004
78,11,DFEN 2017-10-24 to 2017-10-30,2017-10-30,39.93
79,12,NVDA 2017-11-06 to 2017-11-14,2017-11-06,209.63
80,13,SQ 2017-11-06 to 2017-11-14,2017-11-06,37.18
81,14,SNAP 2017-11-06 to 2017-11-08,2017-11-06,14.83
82,14,SNAP 2017-11-06 to 2017-11-08,2017-11-07,15.12
83,14,SNAP 2017-11-06 to 2017-11-08,2017-11-08,12.91
84,15,GBTC 2017-11-06 to 2018-01-18,2017-11-06,10.154
85,15,GBTC 2017-11-06 to 2018-01-18,2017-11-15,9.5604
